//-Custom Edits-
// ∏  ¿Ã∏ß 	range	scope 	range_IN	rotationFrom 	rotationTo	rotation_IN	altitudeFrom	altitudeTo	altitude_IN
//map_name	zoom_in	zoom_out	default_zoom_at_that_map	??	??	default_rotation	shift_camera_angle_downwards	shift_camera_angle_upwards	default_shift_camera_angle_downwards
gl_dun02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gl_in01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gl_knt01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gl_knt02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gl_prison.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gl_prison1.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gl_sew01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gl_sew02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gl_sew03.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gl_sew04.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gl_step.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
glast_01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gld_dun01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gld_dun01_2.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gld_dun02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gld_dun02_2.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gld_dun03.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gld_dun03_2.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gld_dun04.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gld_dun04_2.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gld2_ald.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gld2_gef.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gld2_pay.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gld2_prt.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gon_dun01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gon_dun02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gon_dun03.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gon_fild01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gon_in.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gon_test.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gonryun.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
guild_room.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
guild_vs1.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
guild_vs2.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
guild_vs3.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
guild_vs4.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
guild_vs5.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
har_in01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
harboro1.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
harboro2.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
harboro3.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
himinn.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
hu_fild01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
hu_fild02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
hu_fild03.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
hu_fild04.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
hu_fild05.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
hu_fild06.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
hu_fild07.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
hu_in01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
hugel.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
hunter_1-1.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
hunter_2-1.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
hunter_3-1.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ice_d03_i.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ice_dun01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ice_dun02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ice_dun03.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ice_dun04.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
in_hunter.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
in_moc_16.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
in_orcs01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
in_rogue.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
in_sphinx1.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
in_sphinx2.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
in_sphinx3.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
in_sphinx4.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
in_sphinx5.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
itemmall.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
iz_ac01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
iz_ac01_a.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
iz_ac01_b.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
iz_ac01_c.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
iz_ac01_d.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
iz_ac02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
iz_ac02_a.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
iz_ac02_b.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
iz_ac02_c.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
iz_ac02_d.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
iz_dun00.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
iz_dun00t.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
iz_dun01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
iz_dun01t.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
iz_dun02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
iz_dun02t.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
iz_dun03.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
iz_dun03t.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
iz_dun04.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
iz_dun04t.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
iz_dun05.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
iz_int.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
iz_int01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
iz_int02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
iz_int03.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
iz_int04.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
iz_ng01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
izlu2dun.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
izlude.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
izlude_a.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
izlude_b.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
izlude_c.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
izlude_d.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
izlude_in.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
jawaii.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
jawaii_in.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
job_cru.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
job_duncer.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
job_gun.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
job_hunte.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
job_hunter.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
job_knight.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
job_knt.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
job_ko.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
job_monk.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
job_priest.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
job_prist.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
job_sage.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
job_soul.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
job_star.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
job_sword1.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
job_thief1.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
job_wiz.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
job_wizard.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
job3_arch01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
job3_arch02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
job3_arch03.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
job3_gen01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
job3_guil01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
job3_guil02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
job3_guil03.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
job3_rang01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
job3_rang02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
job3_rune01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
job3_rune02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
job3_rune03.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
job3_sha01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
job3_war01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
job3_war02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
jp_ev_map06.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
jp_ev_map07.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
jp_ev_map09.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
jp_ev_map10.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
jp_ev_map11.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
jp_ev_map12.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
jp_ev_map13.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
jp_ev_map45.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
jp_ev_map57.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
jp_ev_map58.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
jp_ev_map59.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
jp_ev_map60.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
jp_ev_map62.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
jp_ev_map63.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
jp_ev_map66.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
jp_ev_map71.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
jp_s_dun11.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
jupe_area1.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
jupe_area2.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
jupe_cave.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
jupe_core.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
jupe_core2.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
jupe_ele.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
jupe_ele_r.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
jupe_gate.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
juperos_01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
juperos_02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
kh_dun01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
kh_dun02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
kh_kiehl01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
kh_kiehl02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
kh_mansion.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
kh_rossi.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
kh_school.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
kh_vila.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
knight_1-1.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
knight_2-1.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
knight_3-1.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
lasa_dun_q.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
lasa_dun01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
lasa_dun02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
lasa_dun03.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
lasa_fild01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
lasa_fild02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
lasa_in01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
lasa_sea.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
lasagna.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
lhz_airport.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
lhz_cube.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
lhz_d_n2.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
lhz_dun_n.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
lhz_dun01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
lhz_dun02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
lhz_dun03.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
lhz_dun04.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
lhz_fild01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
lhz_fild02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
lhz_fild03.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
lhz_in01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
lhz_in02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
lhz_in03.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
lhz_que01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
lighthalzen.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
lou_dun01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
lou_dun02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
lou_dun03.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
lou_fild01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
lou_in01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
lou_in02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
louyang.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
louyang_e.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ma_dun01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ma_fild01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ma_fild02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ma_in01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ma_scene01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ma_zif01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ma_zif02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ma_zif03.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ma_zif04.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ma_zif05.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ma_zif06.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ma_zif07.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ma_zif08.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ma_zif09.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
mag_dun01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
mag_dun02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
mag_dun03.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
mal_dun01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
mal_in01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
mal_in02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
mal_in02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
malangdo.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
malaya.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
man_fild01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
man_fild02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
man_fild03.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
man_in01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
manuk.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
mid_camp.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
mid_campin.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
mjo_dun01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
mjo_dun02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
mjo_dun03.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
mjolnir_01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
mjolnir_02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
mjolnir_03.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
mjolnir_04.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
mjolnir_04_1.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
mjolnir_05.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
mjolnir_06.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
mjolnir_07.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
mjolnir_08.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
mjolnir_09.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
mjolnir_10.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
mjolnir_11.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
mjolnir_12.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
moc_castle.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
moc_fild01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
moc_fild02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
moc_fild03.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
moc_fild04.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
moc_fild05.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
moc_fild06.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
moc_fild07.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
moc_fild08.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
moc_fild09.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
moc_fild10.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
moc_fild11.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
moc_fild12.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
moc_fild13.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
moc_fild14.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
moc_fild15.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
moc_fild16.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
moc_fild17.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
moc_fild18.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
moc_fild19.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
moc_fild20.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
moc_fild21.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
moc_fild22.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
moc_fild22b.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
moc_para01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
moc_paraup.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
moc_pryd01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
moc_pryd02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
moc_pryd03.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
moc_pryd04.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
moc_pryd05.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
moc_pryd06.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
moc_prydb1.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
moc_prydn1.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
moc_prydn2.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
moc_ruins.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
monk_in.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
monk_test.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
moonfild.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
mora.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
moro_cav.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
moro_vol.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
morocc.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
morocc_in.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
morocc_mem.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
moscovia.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
mosk_dun01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
mosk_dun02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
mosk_dun03.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
mosk_fild01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
mosk_fild02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
mosk_in.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
mosk_que.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
mosk_ship.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
n_castle.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
nameless_i.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
nameless_in.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
nameless_n.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
new_1-1.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
